,Character,Dialog,Season,Episode,Fix Name,Character_Fix,Length Dialog,Character_Keep
0,SCENE  SCENE HEADING,,3,5,Fix,SCENE  SCENE HEADING,0,Remove
0,SCENE  SCENE HEADING,,3,5,Fix,SCENE  SCENE HEADING,0,Remove
0,SCENE  SCENE HEADING,,3,5,Fix,SCENE  SCENE HEADING,0,Remove
0,SCENE  SCENE HEADING,,3,5,Fix,SCENE  SCENE HEADING,0,Remove
0,SCENE  SCENE HEADING,,3,5,Fix,SCENE  SCENE HEADING,0,Remove
0,SCENE  SCENE HEADING,,3,5,Fix,SCENE  SCENE HEADING,0,Remove
0,SCENE  SCENE HEADING,,3,5,Fix,SCENE  SCENE HEADING,0,Remove
0,SCENE  SCENE HEADING,,3,5,Fix,SCENE  SCENE HEADING,0,Remove
0,SCENE  SCENE HEADING,,3,5,Fix,SCENE  SCENE HEADING,0,Remove
0,SCENE  SCENE HEADING,,3,5,Fix,SCENE  SCENE HEADING,0,Remove
0,SCENE  SCENE HEADING,,3,5,Fix,SCENE  SCENE HEADING,0,Remove
0,SCENE  SCENE HEADING,,3,5,Fix,SCENE  SCENE HEADING,0,Remove
0,SCENE  SCENE HEADING,,3,5,Fix,SCENE  SCENE HEADING,0,Remove
0,SCENE  SCENE HEADING,,3,5,Fix,SCENE  SCENE HEADING,0,Remove
0,SCENE  SCENE HEADING,,3,5,Fix,SCENE  SCENE HEADING,0,Remove
0,SCENE  SCENE HEADING,,3,5,Fix,SCENE  SCENE HEADING,0,Remove
0,SCENE  SCENE HEADING,,3,5,Fix,SCENE  SCENE HEADING,0,Remove
1,PAGE ,,3,5,Fix,PAGE ,0,Remove
1,PAGE ,,3,5,Fix,PAGE ,0,Remove
1,PAGE ,,3,5,Fix,PAGE ,0,Remove
1,PAGE ,,3,5,Fix,PAGE ,0,Remove
1,PAGE ,,3,5,Fix,PAGE ,0,Remove
1,PAGE ,,3,5,Fix,PAGE ,0,Remove
1,PAGE ,,3,5,Fix,PAGE ,0,Remove
1,PAGE ,,3,5,Fix,PAGE ,0,Remove
1,PAGE ,,3,5,Fix,PAGE ,0,Remove
1,PAGE ,,3,5,Fix,PAGE ,0,Remove
1,PAGE ,,3,5,Fix,PAGE ,0,Remove
1,PAGE ,,3,5,Fix,PAGE ,0,Remove
1,PAGE ,,3,5,Fix,PAGE ,0,Remove
1,PAGE ,,3,5,Fix,PAGE ,0,Remove
1,PAGE ,,3,5,Fix,PAGE ,0,Remove
1,PAGE ,,3,5,Fix,PAGE ,0,Remove
1,PAGE ,,3,5,Fix,PAGE ,0,Remove
2,LENGTH,,3,5,Fix,LENGTH,0,Remove
2,LENGTH,,3,5,Fix,LENGTH,0,Remove
2,LENGTH,,3,5,Fix,LENGTH,0,Remove
2,LENGTH,,3,5,Fix,LENGTH,0,Remove
2,LENGTH,,3,5,Fix,LENGTH,0,Remove
2,LENGTH,,3,5,Fix,LENGTH,0,Remove
