,Character,Dialog,Season,Episode,Fix Name,Character_Fix,Length Dialog,Character_Keep
3,HOPPER,,3,5,True,HOPPER,0,Keep
3,HOPPER,,3,5,True,HOPPER,0,Keep
3,HOPPER,,3,5,True,HOPPER,0,Keep
3,HOPPER,,3,5,True,HOPPER,0,Keep
3,HOPPER,,3,5,True,HOPPER,0,Keep
3,HOPPER,"Looks like somebody’s home. As the truck parks, we REVEAL A CAR and A LYNX DELIVERY  TRUCK. The farm appears to be abandoned. It’s dark. Windows  are boarded up. The door opens, slowly. CREAKING. First, we see Hopper’s  FLASHLIGHT, then Hopper. He aims his flashlight and REVOLVER  and slowly walks in. Joyce is right behind - no gun, but a ",3,5,True,HOPPER,341,Keep
3,HOPPER,Where’s that coming from? Joyce pauses at the foot of a MURPHY BED. There’s a  VENTILATION COVER on the wooden base. Joyce bends down and  puts her ear to the floor.,3,5,True,HOPPER,165,Keep
3,HOPPER,"Hey, dipshits! The men drop their tools and stand. Hawkins PD. Hands in the air.",3,5,True,HOPPER,80,Keep
3,HOPPER,"Dr. Alexei steps forward, putting himself between Hopper’s  gun and the Mechanic. The flashlight beam lighting up  Alexei’s confused face. Don’t make me say it again!",3,5,True,HOPPER,166,Keep
3,HOPPER,,3,5,True,HOPPER,0,Keep
3,HOPPER,English! You speak English? Alexei tries to calm the situation.,3,5,True,HOPPER,63,Keep
3,HOPPER,I can’t understand you!,3,5,True,HOPPER,23,Keep
3,HOPPER,"We didn’t do anything bad. We  didn’t do anything illegal,  we’re just a couple of  mechanics.",3,5,True,HOPPER,94,Keep
3,HOPPER,THUDDING FOOTSTEPS from above. Grigori.,3,5,True,HOPPER,39,Keep
3,HOPPER,Don’t move! The feel Hopper’s cold steel revolver pressed against the  back of Grigori’s skull is enough to make him obey - for now. Lakeridge #305,3,5,True,HOPPER,147,Keep
3,HOPPER,Grigori does not comply. He’s colder than the lifeless gun.,3,5,True,HOPPER,59,Keep
3,HOPPER,Nothing.,3,5,True,HOPPER,8,Keep
3,HOPPER,"You understand what I’m saying, big  guy? Drop the weapon.",3,5,True,HOPPER,58,Keep
3,HOPPER,"Good. So you do understand what I’m  saying, huh? And yeah, you don’t  put that thing away, I’m gonna blow  some daylight into that thick skull  of yours.",3,5,True,HOPPER,154,Keep
3,HOPPER,Why’s that?,3,5,True,HOPPER,11,Keep
3,HOPPER,Yeah? Wanna test that theory? I’m going  to count to three. One -- TWO -- ,3,5,True,HOPPER,74,Keep
3,HOPPER,"Come on, Smirnoff. You’re coming  with us.",3,5,True,HOPPER,42,Keep
3,HOPPER,Let’s go! Let’s go! - are right behind. Lakeridge #305,3,5,True,HOPPER,54,Keep
3,HOPPER,"Move it, Smirnoff! Move it! Grigori limps up the stairs.",3,5,True,HOPPER,56,Keep
3,HOPPER,"Joyce! Drive! Joyce, Hopper and Alexei run to Hopper’s truck. Hopper tosses  Joyce the keys. Joyce fumbles with the keys.",3,5,True,HOPPER,121,Keep
3,HOPPER,"Come on, Joyce! Quit screwing  around! At the top of the stairs, Grigori is using every bit of  strength he has to lift the Murphy bed. He’s using his back  as leverage. He’s straining. Hopper and Alexei are in the back. Joyce in the driver’s  seat. She’s trying to find the ignition key, nervously  looking at each key.",3,5,True,HOPPER,320,Keep
3,HOPPER,"Joyce, drive!",3,5,True,HOPPER,13,Keep
3,HOPPER,"Joyce, please, DRIVE! shelf to give way. He stands tall at the top of the secret  stairs. Lakeridge #305 out of the driveway. Grigori kicks open the front door. Pieces of the frame  splinter. As the truck drives away, Grigori opens fire -  marching forward. Bullets fly past. Joyce ducks. Bullets riddle the side of the truck. The engine starts to  smoke. The back window shatters. Grigori fires ceaselessly at the fleeing truck as he walks  down the porch stairs and across the lawn. One part Rambo,  one part Terminator. Joyce drives through the mail box and onto the road. Grigori is out of bullets.",3,5,True,HOPPER,602,Keep
3,HOPPER,"Still think it was our government? No response from Joyce. She’s in shock. Lakeridge #305 Grigori limps forward, hoisting his rifle onto his shoulder.  He stops and scowls as Hopper’s truck disappears into the  night.",3,5,True,HOPPER,217,Keep
3,HOPPER,"Son of a bitch! Nearby, Joyce is trying to communicate with Alexei - who is  handcuffed to a tree. She’s holding two rocks.",3,5,True,HOPPER,123,Keep
3,HOPPER,"Joyce! Please! You’re giving me a  headache, both of you!",3,5,True,HOPPER,57,Keep
3,HOPPER,,3,5,True,HOPPER,0,Keep
3,HOPPER,What have you learned? You learned  that Smirnoff over there -- Alexei.,3,5,True,HOPPER,71,Keep
3,HOPPER,"Smirnoff is Russian and works for  Starcourt, two things we already  knew.",3,5,True,HOPPER,74,Keep
3,HOPPER,"Yeah? Why don’t you confirm whether  this baby’ll start, huh? Keep it in park, please. Lakeridge #305",3,5,True,HOPPER,101,Keep
3,HOPPER,Try it again. She does. But nothing. The engine sputters. Shit.,3,5,True,HOPPER,63,Keep
3,HOPPER,Hopper steps onto the bumper to get a closer look inside the  engine. Joyce continues trying to start the engine. She steps  on the gas. An ELECTRICAL SPARK catches Alexei’s attention.,3,5,True,HOPPER,184,Keep
3,HOPPER,"Shut up, Smirnoff!",3,5,True,HOPPER,18,Keep
3,HOPPER,"Awe, come on! Are you deaf! I said  shut your damn -- POOF! The engine catches fire. A plume of black smoke. Joyce  is still in the driver’s seat. Shit! Oh, Jesus.",3,5,True,HOPPER,163,Keep
3,HOPPER,Joyce jumps out of the truck just moments before the engine  explodes into a huge ball of flames. Alexei and Hopper stare  at the wreckage wide-eyed. Then Lakeridge #305,3,5,True,HOPPER,169,Keep
3,HOPPER,"He’s not really a friend. More like  an acquaintance. Alexei struggles with a buzzing fly around his head and is  lagging behind. Okay, well --",3,5,True,HOPPER,143,Keep
3,HOPPER,"Hey, hey, keep up.",3,5,True,HOPPER,18,Keep
3,HOPPER,,3,5,True,HOPPER,0,Keep
3,HOPPER,"Yeah, yeah. We’re gonna walk to  Illinois. You know, I figure we’ll  get there by, like, Friday evening.  I hope that works with your  schedule Jesus Christ, Joyce. We’re  not walking to Illinois, okay?",3,5,True,HOPPER,202,Keep
3,HOPPER,"I don’t know, okay -- I will figure  something out.",3,5,True,HOPPER,51,Keep
3,HOPPER,"You know what? I’m all ears, Joyce. (grabs Alexei and marches  forward) I’m all ears! Then, as Hopper lets go of Alexei and swats away bugs ... ALEXEI FADES AWAY INTO A BALL OF DUST. BLACKNESS overtakes  the forest. Hopper is ... ...alone, and still swatting away bugs. Except, Hopper  doesn’t know that he’s alone and in the BLACK VOID. To him,  nothing has changed. But ... ELEVEN, from a distance, is watching Hopper trudge away. Eleven is blindfolded. Blood drips from her LEFT NOSTRIL.",3,5,True,HOPPER,490,Keep
3,HOPPER,,3,5,True,HOPPER,0,Keep
3,HOPPER,"I get it, I get it. You’re upset  right? Cause I blew up the car?",3,5,True,HOPPER,65,Keep
3,HOPPER,"Well, I just want to remind you of  something, Joyce. I am not a  mechanic.",3,5,True,HOPPER,75,Keep
3,HOPPER,"Oh, right, yeah. You’re new  boyfriend. Lakeridge #305",3,5,True,HOPPER,54,Keep
3,HOPPER,"Yeah, he reminds me a bit of a  Russian Scott Clarke.",3,5,True,HOPPER,53,Keep
3,HOPPER,"Maybe you should go on a date. I  don’t know, I’m thinking, like  Enzo’s? Suddenly, Alexei runs past. Hopper doesn’t notice, but Joyce  does.",3,5,True,HOPPER,141,Keep
3,HOPPER,,3,5,True,HOPPER,0,Keep
3,HOPPER,"Sonofabitch! Hopper gives chase. Joyce does as well, except with a lot  less gusto.",3,5,True,HOPPER,83,Keep
3,HOPPER,"Hey, Smirnoff! Get back here.",3,5,True,HOPPER,29,Keep
3,HOPPER,Hey! C’mere.,3,5,True,HOPPER,12,Keep
3,HOPPER,I’m a cop. Ricky doesn’t believe him. I’m undercover.,3,5,True,HOPPER,53,Keep
3,HOPPER,"While Ricky continues to tally the bill, Hopper looks outside  gas. Joyce is at a PAYPHONE.",3,5,True,HOPPER,91,Keep
3,HOPPER,"Just keep your mouth shut, all  right? Hopper loads Alexei into the convertible while the car’s  owner pumps gas.",3,5,True,HOPPER,113,Keep
3,HOPPER,"All right, hop in. Come on, get in. Hey! Hey! Hey!",3,5,True,HOPPER,50,Keep
3,HOPPER,,3,5,True,HOPPER,0,Keep
3,HOPPER,"You hey! (the man stops before  Hopper) You hey! This is a police  emergency, all right? I need to commandeer your vehicle.",3,5,True,HOPPER,123,Keep
3,HOPPER,,3,5,True,HOPPER,0,Keep
3,HOPPER,,3,5,True,HOPPER,0,Keep
3,HOPPER,Toooooodddddd. Todd.,3,5,True,HOPPER,20,Keep
3,HOPPER,"Todd. Listen to me. That man in  there --  I know he doesn’t look it, but he  is one of the most dangerous men in  the world. Alexei, sipping his Slurpee, is pure bliss right now. He’s murdered many children.",3,5,True,HOPPER,208,Keep
3,HOPPER,What?,3,5,True,HOPPER,5,Keep
