,Character_Fix,Character,Dialog,Season,Episode,Fix Name,Length Dialog,Character_Keep,Dialog_Check,Remove_Lines
5,HOPPER,HOPPER,"Looks like somebody’s home. As the truck parks, we REVEAL A CAR and A LYNX DELIVERY  TRUCK. The farm appears to be abandoned. It’s dark. Windows  are boarded up. The door opens, slowly. CREAKING. First, we see Hopper’s  FLASHLIGHT, then Hopper. He aims his flashlight and REVOLVER  and slowly walks in. Joyce is right behind - no gun, but a ",3,5,True,341,Keep,False,False
6,HOPPER,HOPPER,Where’s that coming from? Joyce pauses at the foot of a MURPHY BED. There’s a  VENTILATION COVER on the wooden base. Joyce bends down and  puts her ear to the floor.,3,5,True,165,Keep,False,False
7,HOPPER,HOPPER,"Hey, dipshits! The men drop their tools and stand. Hawkins PD. Hands in the air.",3,5,True,80,Keep,False,False
8,HOPPER,HOPPER,"Dr. Alexei steps forward, putting himself between Hopper’s  gun and the Mechanic. The flashlight beam lighting up  Alexei’s confused face. Don’t make me say it again!",3,5,True,166,Keep,False,False
10,HOPPER,HOPPER,English! You speak English? Alexei tries to calm the situation.,3,5,True,63,Keep,False,False
11,HOPPER,HOPPER,I can’t understand you!,3,5,True,23,Keep,False,False
12,HOPPER,HOPPER,"We didn’t do anything bad. We  didn’t do anything illegal,  we’re just a couple of  mechanics.",3,5,True,94,Keep,False,False
13,HOPPER,HOPPER,THUDDING FOOTSTEPS from above. Grigori.,3,5,True,39,Keep,False,False
14,HOPPER,HOPPER,Don’t move! The feel Hopper’s cold steel revolver pressed against the  back of Grigori’s skull is enough to make him obey - for now. Lakeridge #305,3,5,True,147,Keep,False,False
15,HOPPER,HOPPER,Grigori does not comply. He’s colder than the lifeless gun.,3,5,True,59,Keep,False,False
16,HOPPER,HOPPER,Nothing.,3,5,True,8,Keep,False,False
17,HOPPER,HOPPER,"You understand what I’m saying, big  guy? Drop the weapon.",3,5,True,58,Keep,False,False
18,HOPPER,HOPPER,"Good. So you do understand what I’m  saying, huh? And yeah, you don’t  put that thing away, I’m gonna blow  some daylight into that thick skull  of yours.",3,5,True,154,Keep,False,False
19,HOPPER,HOPPER,Why’s that?,3,5,True,11,Keep,False,False
20,HOPPER,HOPPER,Yeah? Wanna test that theory? I’m going  to count to three. One -- TWO -- ,3,5,True,74,Keep,False,False
21,HOPPER,HOPPER,"Come on, Smirnoff. You’re coming  with us.",3,5,True,42,Keep,False,False
22,HOPPER,HOPPER,Let’s go! Let’s go! - are right behind. Lakeridge #305,3,5,True,54,Keep,False,False
23,HOPPER,HOPPER,"Move it, Smirnoff! Move it! Grigori limps up the stairs.",3,5,True,56,Keep,False,False
24,HOPPER,HOPPER,"Joyce! Drive! Joyce, Hopper and Alexei run to Hopper’s truck. Hopper tosses  Joyce the keys. Joyce fumbles with the keys.",3,5,True,121,Keep,False,False
25,HOPPER,HOPPER,"Come on, Joyce! Quit screwing  around! At the top of the stairs, Grigori is using every bit of  strength he has to lift the Murphy bed. He’s using his back  as leverage. He’s straining. Hopper and Alexei are in the back. Joyce in the driver’s  seat. She’s trying to find the ignition key, nervously  looking at each key.",3,5,True,320,Keep,False,False
26,HOPPER,HOPPER,"Joyce, drive!",3,5,True,13,Keep,False,False
27,HOPPER,HOPPER,"Joyce, please, DRIVE! shelf to give way. He stands tall at the top of the secret  stairs. Lakeridge #305 out of the driveway. Grigori kicks open the front door. Pieces of the frame  splinter. As the truck drives away, Grigori opens fire -  marching forward. Bullets fly past. Joyce ducks. Bullets riddle the side of the truck. The engine starts to  smoke. The back window shatters. Grigori fires ceaselessly at the fleeing truck as he walks  down the porch stairs and across the lawn. One part Rambo,  one part Terminator. Joyce drives through the mail box and onto the road. Grigori is out of bullets.",3,5,True,602,Keep,False,False
28,HOPPER,HOPPER,"Still think it was our government? No response from Joyce. She’s in shock. Lakeridge #305 Grigori limps forward, hoisting his rifle onto his shoulder.  He stops and scowls as Hopper’s truck disappears into the  night.",3,5,True,217,Keep,False,False
29,HOPPER,HOPPER,"Son of a bitch! Nearby, Joyce is trying to communicate with Alexei - who is  handcuffed to a tree. She’s holding two rocks.",3,5,True,123,Keep,False,False
30,HOPPER,HOPPER,"Joyce! Please! You’re giving me a  headache, both of you!",3,5,True,57,Keep,False,False
32,HOPPER,HOPPER,What have you learned? You learned  that Smirnoff over there -- Alexei.,3,5,True,71,Keep,False,False
33,HOPPER,HOPPER,"Smirnoff is Russian and works for  Starcourt, two things we already  knew.",3,5,True,74,Keep,False,False
34,HOPPER,HOPPER,"Yeah? Why don’t you confirm whether  this baby’ll start, huh? Keep it in park, please. Lakeridge #305",3,5,True,101,Keep,False,False
35,HOPPER,HOPPER,Try it again. She does. But nothing. The engine sputters. Shit.,3,5,True,63,Keep,False,False
36,HOPPER,HOPPER,Hopper steps onto the bumper to get a closer look inside the  engine. Joyce continues trying to start the engine. She steps  on the gas. An ELECTRICAL SPARK catches Alexei’s attention.,3,5,True,184,Keep,False,False
37,HOPPER,HOPPER,"Shut up, Smirnoff!",3,5,True,18,Keep,False,False
38,HOPPER,HOPPER,"Awe, come on! Are you deaf! I said  shut your damn -- POOF! The engine catches fire. A plume of black smoke. Joyce  is still in the driver’s seat. Shit! Oh, Jesus.",3,5,True,163,Keep,False,False
39,HOPPER,HOPPER,Joyce jumps out of the truck just moments before the engine  explodes into a huge ball of flames. Alexei and Hopper stare  at the wreckage wide-eyed. Then Lakeridge #305,3,5,True,169,Keep,False,False
40,HOPPER,HOPPER,"He’s not really a friend. More like  an acquaintance. Alexei struggles with a buzzing fly around his head and is  lagging behind. Okay, well --",3,5,True,143,Keep,False,False
41,HOPPER,HOPPER,"Hey, hey, keep up.",3,5,True,18,Keep,False,False
43,HOPPER,HOPPER,"Yeah, yeah. We’re gonna walk to  Illinois. You know, I figure we’ll  get there by, like, Friday evening.  I hope that works with your  schedule Jesus Christ, Joyce. We’re  not walking to Illinois, okay?",3,5,True,202,Keep,False,False
44,HOPPER,HOPPER,"I don’t know, okay -- I will figure  something out.",3,5,True,51,Keep,False,False
45,HOPPER,HOPPER,"You know what? I’m all ears, Joyce. (grabs Alexei and marches  forward) I’m all ears! Then, as Hopper lets go of Alexei and swats away bugs ... ALEXEI FADES AWAY INTO A BALL OF DUST. BLACKNESS overtakes  the forest. Hopper is ... ...alone, and still swatting away bugs. Except, Hopper  doesn’t know that he’s alone and in the BLACK VOID. To him,  nothing has changed. But ... ELEVEN, from a distance, is watching Hopper trudge away. Eleven is blindfolded. Blood drips from her LEFT NOSTRIL.",3,5,True,490,Keep,False,False
47,HOPPER,HOPPER,"I get it, I get it. You’re upset  right? Cause I blew up the car?",3,5,True,65,Keep,False,False
48,HOPPER,HOPPER,"Well, I just want to remind you of  something, Joyce. I am not a  mechanic.",3,5,True,75,Keep,False,False
49,HOPPER,HOPPER,"Oh, right, yeah. You’re new  boyfriend. Lakeridge #305",3,5,True,54,Keep,False,False
50,HOPPER,HOPPER,"Yeah, he reminds me a bit of a  Russian Scott Clarke.",3,5,True,53,Keep,False,False
51,HOPPER,HOPPER,"Maybe you should go on a date. I  don’t know, I’m thinking, like  Enzo’s? Suddenly, Alexei runs past. Hopper doesn’t notice, but Joyce  does.",3,5,True,141,Keep,False,False
53,HOPPER,HOPPER,"Sonofabitch! Hopper gives chase. Joyce does as well, except with a lot  less gusto.",3,5,True,83,Keep,False,False
54,HOPPER,HOPPER,"Hey, Smirnoff! Get back here.",3,5,True,29,Keep,False,False
55,HOPPER,HOPPER,Hey! C’mere.,3,5,True,12,Keep,False,False
56,HOPPER,HOPPER,I’m a cop. Ricky doesn’t believe him. I’m undercover.,3,5,True,53,Keep,False,False
57,HOPPER,HOPPER,"While Ricky continues to tally the bill, Hopper looks outside  gas. Joyce is at a PAYPHONE.",3,5,True,91,Keep,False,False
58,HOPPER,HOPPER,"Just keep your mouth shut, all  right? Hopper loads Alexei into the convertible while the car’s  owner pumps gas.",3,5,True,113,Keep,False,False
59,HOPPER,HOPPER,"All right, hop in. Come on, get in. Hey! Hey! Hey!",3,5,True,50,Keep,False,False
61,HOPPER,HOPPER,"You hey! (the man stops before  Hopper) You hey! This is a police  emergency, all right? I need to commandeer your vehicle.",3,5,True,123,Keep,False,False
64,HOPPER,HOPPER,Toooooodddddd. Todd.,3,5,True,20,Keep,False,False
65,HOPPER,HOPPER,"Todd. Listen to me. That man in  there --  I know he doesn’t look it, but he  is one of the most dangerous men in  the world. Alexei, sipping his Slurpee, is pure bliss right now. He’s murdered many children.",3,5,True,208,Keep,False,False
