,BILLY,DUSTIN,ELEVEN,ERICA,HOPPER,JONATHAN,JOYCE,KAREN,LUCAS,MAX,MAYOR KLINE,MIKE,MURRAY,NANCY,ROBIN,STEVE,TOM,WILL
BILLY,1.0000000000000022,-0.4135285636378818,-0.26225677935190606,-0.3721981601472599,-0.38556156590276636,0.6006011812951304,-0.41203714277785225,0.1290104887851988,0.6170621114779775,-0.28968240855771815,-0.4341370999650419,0.693907308593016,-0.4495162628758591,0.5983893529275676,-0.4173256832251525,-0.40100560483622366,0.6130377039715396,0.6160351666110009
DUSTIN,-0.4135285636378818,1.0000000000000115,0.5918048611448644,0.6658370767909976,0.6428367177939348,-0.39610395873792625,0.6144495173053496,0.2299619573714955,-0.33028514763203287,0.6432304931756437,0.5763658876950087,-0.28403350973586394,0.6273933876532405,-0.3616047063858,0.73023344695393,0.7644934685038918,-0.4464828278287037,-0.3587587134772769
ELEVEN,-0.26225677935190606,0.5918048611448644,1.0000000000000018,0.5683088049290173,0.6760618016654172,-0.38256947463383106,0.6410311354883567,0.2843958325798986,-0.32839512528979165,0.7822043856965933,0.5734329700612293,-0.2180026391050289,0.5673391284764822,-0.34097395761781946,0.5726171128976573,0.5981217178963848,-0.4142021024230005,-0.3428843290302449
ERICA,-0.3721981601472599,0.6658370767909976,0.5683088049290173,1.000000000000006,0.6139947597157551,-0.37625311749857987,0.5930253668956218,0.22916546649136307,-0.33709845548078254,0.6246637024159183,0.5621202895033507,-0.30546640021497046,0.562942426368724,-0.3425505592720743,0.6639392327286113,0.6864987924418559,-0.4215187263257724,-0.3543388519845993
HOPPER,-0.38556156590276636,0.6428367177939348,0.6760618016654172,0.6139947597157551,1.0000000000000013,-0.3781497145817723,0.8667896311307696,0.24237435681600247,-0.3587380658196628,0.6713991910737906,0.6830633382296829,-0.2824823778795882,0.7265311327999768,-0.3391024838073816,0.636634031396812,0.6940689801656351,-0.436776296118823,-0.35790048856651135
JONATHAN,0.6006011812951304,-0.39610395873792625,-0.38256947463383106,-0.37625311749857987,-0.3781497145817723,1.000000000000006,-0.3777782606623549,0.009010693533408744,0.6395936032243952,-0.36373225244786317,-0.4262445679863578,0.6737041839688157,-0.4376962865996861,0.7793816649925035,-0.4012314754591978,-0.3561539989869435,0.6478854580834762,0.6191736967285232
JOYCE,-0.41203714277785225,0.6144495173053496,0.6410311354883567,0.5930253668956218,0.8667896311307696,-0.3777782606623549,1.0000000000000062,0.23633913968611228,-0.37540623566356784,0.6379101281422539,0.6495736688677363,-0.3224009367762381,0.6964281320366409,-0.35052928647287274,0.6225235363150203,0.6714714096980777,-0.44292120934345436,-0.38146112568631324
KAREN,0.1290104887851988,0.2299619573714955,0.2843958325798986,0.22916546649136307,0.24237435681600247,0.009010693533408744,0.23633913968611228,0.9999999999999993,0.0050331458333289225,0.28946783418852207,0.2066344473762535,0.08053541759983654,0.18774456982044718,0.021050442884555903,0.23388444353028362,0.25719985018876124,-0.03079372899425657,0.014881571408953832
LUCAS,0.6170621114779775,-0.33028514763203287,-0.32839512528979165,-0.33709845548078254,-0.3587380658196628,0.6395936032243952,-0.37540623566356784,0.0050331458333289225,1.0000000000000056,-0.2766570148304245,-0.4234808988580484,0.7238905366671404,-0.4167709051558403,0.65150864184785,-0.3667271052372151,-0.3322566200457633,0.5595004691999984,0.6494114278391449
MAX,-0.28968240855771815,0.6432304931756437,0.7822043856965933,0.6246637024159183,0.6713991910737906,-0.36373225244786317,0.6379101281422539,0.28946783418852207,-0.2766570148304245,1.0000000000000062,0.5785489454004842,-0.1857462656972363,0.5710838649144697,-0.31350733840866596,0.6216028196340357,0.6555520530375926,-0.40642941332436994,-0.29795889073593435
MAYOR KLINE,-0.4341370999650419,0.5763658876950087,0.5734329700612293,0.5621202895033507,0.6830633382296829,-0.4262445679863578,0.6495736688677363,0.2066344473762535,-0.4234808988580484,0.5785489454004842,1.000000000000005,-0.39568364662887484,0.6064825792873743,-0.4021371311870353,0.5677789001499768,0.6084622010593,-0.461724833687362,-0.41999911139056806
MIKE,0.693907308593016,-0.28403350973586394,-0.2180026391050289,-0.30546640021497046,-0.2824823778795882,0.6737041839688157,-0.3224009367762381,0.08053541759983654,0.7238905366671404,-0.1857462656972363,-0.39568364662887484,1.0000000000000007,-0.3930098877400641,0.6848865457321726,-0.34141213408442256,-0.2833763840970091,0.5823180381540671,0.7393684949187622
MURRAY,-0.4495162628758591,0.6273933876532405,0.5673391284764822,0.562942426368724,0.7265311327999768,-0.4376962865996861,0.6964281320366409,0.18774456982044718,-0.4167709051558403,0.5710838649144697,0.6064825792873743,-0.3930098877400641,0.9999999999999973,-0.40996267703854183,0.5771775912022958,0.6060481332933663,-0.4672654193863907,-0.42958130722473786
NANCY,0.5983893529275676,-0.3616047063858,-0.34097395761781946,-0.3425505592720743,-0.3391024838073816,0.7793816649925035,-0.35052928647287274,0.021050442884555903,0.65150864184785,-0.31350733840866596,-0.4021371311870353,0.6848865457321726,-0.40996267703854183,0.9999999999999943,-0.36603078722242466,-0.3211408472464901,0.673082963769267,0.6271493017787699
ROBIN,-0.4173256832251525,0.73023344695393,0.5726171128976573,0.6639392327286113,0.636634031396812,-0.4012314754591978,0.6225235363150203,0.23388444353028362,-0.3667271052372151,0.6216028196340357,0.5677789001499768,-0.34141213408442256,0.5771775912022958,-0.36603078722242466,0.99999999999999,0.8107378651261423,-0.44838003466827925,-0.3788683555864724
STEVE,-0.40100560483622366,0.7644934685038918,0.5981217178963848,0.6864987924418559,0.6940689801656351,-0.3561539989869435,0.6714714096980777,0.25719985018876124,-0.3322566200457633,0.6555520530375926,0.6084622010593,-0.2833763840970091,0.6060481332933663,-0.3211408472464901,0.8107378651261423,0.9999999999999951,-0.43745485109804694,-0.3383533945456405
TOM,0.6130377039715396,-0.4464828278287037,-0.4142021024230005,-0.4215187263257724,-0.436776296118823,0.6478854580834762,-0.44292120934345436,-0.03079372899425657,0.5595004691999984,-0.40642941332436994,-0.461724833687362,0.5823180381540671,-0.4672654193863907,0.673082963769267,-0.44838003466827925,-0.43745485109804694,0.9999999999999987,0.559903418799232
WILL,0.6160351666110009,-0.3587587134772769,-0.3428843290302449,-0.3543388519845993,-0.35790048856651135,0.6191736967285232,-0.38146112568631324,0.014881571408953832,0.6494114278391449,-0.29795889073593435,-0.41999911139056806,0.7393684949187622,-0.42958130722473786,0.6271493017787699,-0.3788683555864724,-0.3383533945456405,0.559903418799232,1.0
